iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
98,POST,400,5.04,24.63,47.95,247.82,248.2
99,OPTIONS,204,4.92,30.72,56.33,258.42,258.52
99,POST,400,5.54,35.81,46.21,256.17,256.55
100,OPTIONS,204,4.53,29.36,45.17,253.96,254.07
100,POST,400,5.12,30.41,47.36,247.73,248.28
101,OPTIONS,204,6.3,29.08,41.78,234.03,234.16
101,POST,400,5.22,33.88,43.69,238.46,238.81
102,OPTIONS,204,4.74,29.49,51.63,256.91,257.02
102,POST,400,4.94,30.31,50.22,255.15,255.4
103,OPTIONS,204,3.54,32.05,49.43,246.89,246.99
103,POST,400,7.85,28.38,51.27,250.39,250.66
104,OPTIONS,204,5.28,29.12,47.4,251.52,251.64
104,POST,400,4.75,30.38,49.35,247.07,247.59
105,OPTIONS,204,5.44,31.1,48.52,250.6,250.68
105,POST,400,5.54,28.49,50.63,255.03,255.41
106,OPTIONS,204,5.06,36.45,41.88,247.3,247.39
106,POST,400,3.42,32.74,52.04,256.55,256.93
107,OPTIONS,204,3.88,28.71,45.96,242.14,242.19
107,POST,400,6.03,39.95,50.72,282.56,283.3
108,OPTIONS,204,4.39,31.31,52.22,263.88,263.98
108,POST,400,5.24,33.3,49.63,253.22,253.86
109,OPTIONS,204,3.48,31.74,51.29,249.37,249.48
109,POST,400,2.78,28.29,53.58,261.41,261.76
110,OPTIONS,204,3.92,29.44,47.49,250.9,250.99
110,POST,400,2.69,32.09,64.41,264.84,265.21
111,OPTIONS,204,7.39,30.4,51.22,255.97,256.08
111,POST,400,3.87,30.16,54.41,267.87,268.27
112,OPTIONS,204,5.3,31.21,45.55,250.41,250.52
112,POST,400,3.85,32.0,49.9,247.97,248.16
113,OPTIONS,204,4.39,30.27,46.05,241.77,241.89
113,POST,400,4.01,30.96,56.18,257.68,258.17
114,OPTIONS,204,5.07,29.61,44.34,236.33,236.43
114,POST,400,4.97,37.2,50.31,261.03,261.35
115,OPTIONS,204,5.28,30.84,48.96,250.22,250.29
115,POST,400,5.18,28.37,43.95,244.84,245.28
116,OPTIONS,204,10.92,28.63,46.96,246.09,246.15
116,POST,400,4.27,33.66,46.3,245.5,245.97
117,OPTIONS,204,4.63,29.26,47.77,248.77,248.85
117,POST,400,4.41,30.69,56.13,266.45,266.94
118,OPTIONS,204,4.14,31.57,50.96,263.53,263.64
118,POST,400,6.56,29.88,46.75,250.06,250.39
119,OPTIONS,204,3.38,30.56,51.07,249.2,249.24
119,POST,400,3.64,35.96,56.45,266.38,266.74
120,OPTIONS,204,4.53,30.79,48.1,272.56,272.71
120,POST,400,6.03,31.57,46.67,251.01,251.46
121,OPTIONS,204,4.69,28.14,47.83,244.62,244.76
121,POST,400,5.2,30.3,50.77,264.91,265.55
122,OPTIONS,204,4.78,29.68,49.88,251.31,251.37
122,POST,400,4.39,35.71,44.7,253.71,254.01
123,OPTIONS,204,5.35,30.25,47.07,252.34,252.44
123,POST,400,4.97,29.01,43.41,241.8,242.05
124,OPTIONS,204,4.76,26.47,47.0,239.06,239.14
124,POST,400,5.57,30.52,58.39,269.7,270.11
125,OPTIONS,204,4.1,32.32,55.36,272.23,272.33
125,POST,400,5.98,33.73,44.62,249.36,249.74
126,OPTIONS,204,7.02,35.66,43.33,247.54,247.7
126,POST,400,12.48,29.54,45.64,253.53,253.77
127,OPTIONS,204,5.23,28.83,52.95,255.01,255.13
127,POST,400,5.64,28.63,52.01,267.9,268.34
128,OPTIONS,204,3.8,31.36,51.85,248.48,248.59
128,POST,400,4.34,39.32,47.68,256.98,257.19
129,OPTIONS,204,2.88,30.62,51.09,264.44,264.5
129,POST,400,4.54,29.71,43.2,243.67,244.05
130,OPTIONS,204,5.27,34.49,44.97,585.93,586.03
130,POST,400,3.7,32.05,45.64,267.5,267.81
131,OPTIONS,204,4.33,29.54,46.45,290.73,292.29
131,POST,400,2.77,31.38,53.43,256.68,256.96
132,OPTIONS,204,5.81,29.79,47.26,261.86,261.99
132,POST,400,10.06,34.72,49.34,274.56,274.83
133,OPTIONS,204,4.78,33.02,53.55,292.59,292.68
133,POST,400,4.53,28.94,54.98,261.77,262.27
134,OPTIONS,204,3.61,31.06,59.54,864.72,864.77
134,POST,400,3.95,31.19,48.65,255.54,255.83
135,OPTIONS,204,5.06,28.98,45.09,256.22,256.36
135,POST,400,4.15,36.77,48.66,255.47,255.78
136,OPTIONS,204,4.38,30.01,49.56,260.14,260.24
136,POST,400,4.72,31.5,55.01,271.46,271.75
137,OPTIONS,204,4.82,28.78,47.96,262.96,263.16
137,POST,400,5.76,33.57,49.27,279.94,280.35
138,OPTIONS,204,8.99,28.96,57.31,273.4,273.46
138,POST,400,8.68,29.81,49.15,273.67,274.3
139,OPTIONS,204,4.59,29.06,48.82,251.58,251.66
139,POST,400,4.19,37.35,52.99,269.51,269.77
140,OPTIONS,204,4.9,29.04,45.1,247.18,247.3
140,POST,400,4.37,28.15,53.71,253.71,254.04
141,OPTIONS,204,5.43,30.31,44.48,249.74,249.84
141,POST,400,4.4,31.35,49.77,260.17,260.45
142,OPTIONS,204,3.58,31.67,59.2,261.78,261.86
142,POST,400,4.57,31.05,45.81,267.27,267.53
143,OPTIONS,204,4.92,28.63,47.03,263.03,263.14
143,POST,400,4.37,29.47,56.86,334.76,336.85
144,OPTIONS,204,4.75,31.63,51.66,267.98,268.1
144,POST,400,5.2,37.28,47.38,267.76,268.0
145,OPTIONS,204,4.85,29.84,54.19,260.71,260.82
145,POST,400,7.26,39.9,54.96,277.41,277.63
146,OPTIONS,204,4.18,29.61,48.05,249.32,249.39
146,POST,400,4.57,30.75,56.37,264.19,264.63
147,OPTIONS,204,4.73,30.54,50.02,251.3,251.36
147,POST,400,4.49,31.84,52.1,264.03,264.31
148,OPTIONS,204,9.51,36.31,47.29,260.03,260.11
148,POST,400,4.39,30.18,49.89,242.45,243.09
149,OPTIONS,204,5.58,28.92,46.39,249.46,249.56
149,POST,400,2.95,28.57,53.73,267.56,267.95
150,OPTIONS,204,3.37,28.98,48.96,245.02,245.08
150,POST,400,3.18,28.64,55.12,264.12,264.47
151,OPTIONS,204,7.47,30.44,44.51,250.78,250.88
151,POST,400,4.24,31.21,49.48,253.5,253.78
152,OPTIONS,204,4.78,28.79,47.39,262.9,263.02
152,POST,400,3.72,31.81,48.5,256.36,256.9
153,OPTIONS,204,5.54,29.27,40.98,235.5,235.67
153,POST,400,4.53,30.37,48.35,254.18,254.44
154,OPTIONS,204,4.88,29.2,50.63,260.27,260.4
154,POST,400,5.31,29.32,45.66,254.22,254.64
155,OPTIONS,204,4.63,28.47,41.92,249.62,250.26
155,POST,400,6.18,30.48,44.61,246.05,246.65
156,OPTIONS,204,4.73,31.67,49.16,254.52,254.62
156,POST,400,4.58,32.08,54.69,264.24,264.64
157,OPTIONS,204,4.37,31.82,50.2,265.93,266.06
157,POST,400,4.63,29.72,49.32,257.83,258.24
158,OPTIONS,204,4.76,31.8,48.54,258.65,258.75
158,POST,400,3.45,33.55,53.92,268.97,269.42
159,OPTIONS,204,2.77,29.99,45.51,245.72,245.91
159,POST,400,9.09,33.76,52.08,270.34,270.56
160,OPTIONS,204,4.85,29.06,46.25,240.14,240.21
160,POST,400,5.03,33.67,47.7,258.75,259.22
161,OPTIONS,204,3.94,29.38,52.02,244.92,244.98
161,POST,400,3.21,29.27,53.03,256.03,256.42
162,OPTIONS,204,3.92,37.56,46.16,286.43,286.53
162,POST,400,4.44,31.71,43.99,246.98,247.23
163,OPTIONS,204,13.06,29.71,52.36,316.38,316.44
163,POST,400,15.63,35.04,49.39,285.11,285.3
164,OPTIONS,204,4.43,33.62,47.91,266.16,266.23
164,POST,400,4.03,30.59,54.2,263.24,263.52
165,OPTIONS,204,2.97,32.07,50.02,262.94,263.86
165,POST,400,7.26,31.44,49.44,255.91,256.28
166,OPTIONS,204,3.68,28.75,47.57,249.81,249.9
166,POST,400,3.99,31.84,57.64,272.42,272.81
167,OPTIONS,204,4.59,31.34,47.21,252.87,253.0
167,POST,400,4.35,30.61,54.98,265.52,265.91
168,OPTIONS,204,3.32,31.6,50.43,267.22,267.38
168,POST,400,4.47,31.36,47.88,247.37,247.69
169,OPTIONS,204,4.57,31.92,53.32,256.9,257.02
169,POST,400,3.89,30.58,48.6,253.99,254.41
170,OPTIONS,204,5.47,30.44,47.35,249.41,249.48
170,POST,400,5.99,31.01,46.04,271.39,271.78
171,OPTIONS,204,5.44,29.45,49.57,251.11,251.24
171,POST,400,5.03,36.21,49.06,254.86,255.24
172,OPTIONS,204,5.75,30.17,45.56,250.43,250.75
172,POST,400,4.54,31.97,55.24,271.76,272.25
173,OPTIONS,204,5.62,32.29,50.57,259.22,259.28
173,POST,400,4.11,30.72,48.81,246.38,246.63
174,OPTIONS,204,5.13,32.04,50.13,581.67,581.75
174,POST,400,8.41,30.15,47.74,270.84,271.13
175,OPTIONS,204,4.02,29.07,51.17,247.17,247.23
175,POST,400,3.73,30.62,49.98,624.87,625.46
176,OPTIONS,204,5.08,31.13,46.48,262.75,262.84
176,POST,400,4.83,35.36,50.32,260.85,261.2
177,OPTIONS,204,5.02,30.12,48.53,268.98,269.32
