iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
113,POST,200,4.73,33.97,52.38,263.16,263.55
114,OPTIONS,204,4.92,28.53,46.34,241.69,241.77
114,POST,200,4.79,37.32,46.1,249.12,249.49
115,OPTIONS,204,6.25,29.74,50.68,257.54,257.68
115,POST,200,7.05,29.71,50.24,270.23,270.59
116,OPTIONS,204,4.93,29.23,51.42,253.38,253.53
116,POST,200,5.21,35.31,48.14,260.14,260.45
117,OPTIONS,204,5.18,29.94,48.72,246.88,246.96
117,POST,200,4.75,32.21,53.18,265.12,265.66
118,OPTIONS,204,9.96,35.78,46.3,271.11,271.21
118,POST,200,7.68,31.84,59.15,357.82,358.4
119,OPTIONS,204,4.75,29.28,49.78,255.43,255.57
119,POST,200,4.74,33.19,49.78,252.95,253.55
120,OPTIONS,204,5.23,31.13,49.33,257.7,257.84
120,POST,200,4.85,31.29,45.04,245.31,245.64
121,OPTIONS,204,5.32,32.88,41.11,249.7,249.83
121,POST,200,3.32,40.63,53.39,277.06,277.38
122,OPTIONS,204,3.41,29.33,47.6,244.66,244.75
122,POST,200,4.48,25.02,45.76,240.93,241.52
123,OPTIONS,204,5.58,32.56,52.58,270.89,270.98
123,POST,200,4.46,31.5,47.4,243.4,243.95
124,OPTIONS,204,5.02,28.68,49.33,242.93,242.99
124,POST,200,4.63,37.12,53.33,257.3,258.97
125,OPTIONS,204,5.21,29.65,49.04,254.61,254.72
125,POST,200,5.1,33.07,48.12,255.5,255.95
126,OPTIONS,204,3.62,29.45,47.93,250.09,250.21
126,POST,200,5.3,35.78,43.58,241.57,241.98
127,OPTIONS,204,4.35,29.64,55.14,286.16,286.26
127,POST,200,4.97,34.06,60.72,278.14,278.48
128,OPTIONS,204,4.08,28.98,51.14,257.43,257.54
128,POST,200,5.0,33.24,48.29,249.56,249.92
129,OPTIONS,204,6.32,38.61,42.43,248.54,248.69
129,POST,200,5.19,29.88,55.26,254.88,255.43
130,OPTIONS,204,3.63,31.24,58.81,315.74,315.8
130,POST,200,3.38,29.74,49.68,241.01,241.19
131,OPTIONS,204,3.78,30.1,49.24,252.43,252.49
131,POST,200,4.02,29.89,49.78,445.19,445.56
132,OPTIONS,204,5.44,29.64,53.69,276.13,276.25
132,POST,200,5.25,35.27,50.68,271.95,272.32
133,OPTIONS,204,3.36,28.73,49.26,246.82,246.91
133,POST,200,3.53,29.14,48.9,244.26,244.52
134,OPTIONS,204,5.14,29.57,52.0,256.05,256.14
134,POST,200,4.54,33.29,61.29,272.38,272.5
135,OPTIONS,204,5.44,31.38,48.21,263.13,263.24
135,POST,200,3.75,29.63,49.08,248.9,249.27
136,OPTIONS,204,5.88,42.2,56.71,279.8,279.88
136,POST,200,5.14,34.79,48.22,263.7,263.95
137,OPTIONS,204,5.63,30.75,48.44,259.19,259.36
137,POST,200,6.42,37.41,54.81,269.97,271.49
138,OPTIONS,204,6.29,31.3,46.71,251.63,251.73
138,POST,200,5.37,34.01,50.34,259.6,260.06
139,OPTIONS,204,4.47,30.78,46.9,246.82,246.97
139,POST,200,5.81,35.89,59.45,283.76,284.34
140,OPTIONS,204,5.12,31.62,52.28,250.15,250.26
140,POST,200,4.76,30.11,49.68,271.69,271.89
141,OPTIONS,204,6.05,29.35,49.29,256.19,256.32
141,POST,200,4.61,33.22,46.64,242.66,243.16
142,OPTIONS,204,5.39,31.03,52.07,268.69,268.94
142,POST,200,6.84,30.68,45.05,252.4,252.88
143,OPTIONS,204,3.72,32.93,50.28,254.77,254.91
143,POST,200,4.6,31.51,51.39,253.12,253.52
144,OPTIONS,204,3.62,28.54,53.47,248.74,248.86
144,POST,200,5.44,34.39,45.47,245.8,246.2
145,OPTIONS,204,5.36,30.61,51.16,254.93,255.06
145,POST,200,4.64,30.17,47.41,268.78,269.24
146,OPTIONS,204,5.75,29.09,46.28,259.46,259.55
146,POST,200,4.73,33.44,51.12,254.22,254.43
147,OPTIONS,204,5.12,29.35,48.09,241.53,241.65
147,POST,200,5.06,34.28,49.18,251.39,252.14
148,OPTIONS,204,5.97,29.24,49.31,268.7,268.8
148,POST,200,5.26,33.16,49.52,254.2,254.83
149,OPTIONS,204,5.66,29.6,49.43,244.7,244.83
149,POST,200,4.94,33.12,57.35,263.88,264.29
150,OPTIONS,204,5.41,30.02,48.36,255.41,255.59
150,POST,200,4.55,30.68,54.92,273.34,273.59
151,OPTIONS,204,4.68,30.78,55.58,258.14,258.22
151,POST,200,5.06,28.73,46.08,266.37,270.18
152,OPTIONS,204,5.97,38.08,47.66,257.22,257.31
152,POST,200,5.4,28.21,47.18,252.42,252.96
153,OPTIONS,204,4.77,29.7,50.06,259.54,259.59
153,POST,200,4.46,31.83,56.84,276.89,277.57
154,OPTIONS,204,5.23,28.88,50.04,258.0,258.09
154,POST,200,5.65,32.7,42.8,237.5,237.83
155,OPTIONS,204,5.12,29.26,46.92,267.96,268.03
155,POST,200,4.72,30.07,45.62,240.21,240.7
156,OPTIONS,204,5.13,28.8,55.83,253.96,254.09
156,POST,200,5.17,35.12,46.66,244.89,245.2
